id,timestamp,user,text,ticker,sector,likes,retweets,sentiment_label
sent_0,2025-03-03T17:35:08.454820,user_1104,$AAPL strategic acquisition,AAPL,Consumer Staples,3,3,positive
sent_1,2025-04-29T22:11:08.456758,user_208,$WMT profit warning,WMT,Technology,4,3,negative
sent_2,2025-01-11T09:03:08.456758,user_985,JPMorgan Chase & Co. company updates conference presentation,JPM,Consumer Discretionary,4,2,positive
sent_3,2025-03-24T09:21:08.456758,user_848,$META solid quarter on the news,META,Consumer Discretionary,5,4,positive
sent_4,2025-01-19T13:01:08.457823,user_206,$NVDA company updates shares jump,NVDA,Consumer Discretionary,6,4,negative
sent_5,2025-05-03T02:16:08.457823,user_322,$AAPL strategic acquisition conference presentation,AAPL,Financials,5,3,positive
sent_6,2025-08-12T10:34:08.457823,user_471,$GOOG shares traded,GOOG,Retail,7,1,neutral
sent_7,2025-10-18T04:13:08.457823,user_806,$AAPL solid quarter solid quarter,AAPL,Consumer Discretionary,1,0,positive
sent_8,2025-04-08T23:08:08.457823,user_934,$MSFT record profits #earnings,MSFT,Consumer Discretionary,5,0,positive
sent_9,2025-03-03T04:17:08.457823,user_1012,Alphabet Inc solid quarter,GOOG,Automotive,6,2,neutral
sent_10,2025-08-13T19:21:08.457823,user_464,$BAC sell rating,BAC,Consumer Discretionary,3,4,negative
sent_11,2025-08-17T13:01:08.457823,user_1045,JPMorgan Chase & Co. filed SEC form conference presentation #earnings,JPM,Technology,5,4,neutral
sent_12,2025-07-19T17:19:08.457823,user_1215,"Amazon.com, Inc conference presentation",AMZN,Automotive,6,1,neutral
sent_13,2025-10-12T19:57:08.457823,user_861,$BAC shares traded #markets #earnings,BAC,Consumer Discretionary,5,3,neutral
sent_14,2025-07-19T04:46:08.457823,user_230,$AAPL filed SEC form stock drops,AAPL,Automotive,2,3,neutral
sent_15,2025-08-23T00:12:08.457823,user_816,$AMZN raising targets #earnings,AMZN,Consumer Staples,9,5,positive
sent_16,2025-09-19T05:17:08.457823,user_279,$GOOG raising targets expansion plans,GOOG,Consumer Discretionary,2,1,positive
sent_17,2025-10-19T14:17:08.458822,user_1338,$META analyst meeting,META,Semiconductors,4,0,negative
sent_18,2025-08-24T17:42:08.458822,user_631,$GOOG filed SEC form in after-hours trading,GOOG,Consumer Discretionary,10,4,neutral
sent_19,2025-04-03T13:20:08.458822,user_696,$TSLA conference presentation,TSLA,Financials,4,5,positive
sent_20,2025-06-23T21:37:08.458822,user_1657,$GOOG strong buy #markets,GOOG,Consumer Discretionary,8,1,positive
sent_21,2025-03-20T19:46:08.458822,user_572,$GOOG filed SEC form raising targets #markets,GOOG,Financials,4,2,positive
sent_22,2025-10-24T23:39:08.458822,user_142,$GOOG buy rating CEO comments,GOOG,Technology,4,1,positive
sent_23,2024-12-06T09:15:08.458822,user_608,Alphabet Inc announces conference call,GOOG,Automotive,6,3,positive
sent_24,2024-12-25T19:37:08.458822,user_588,$MSFT layoffs announced #earnings,MSFT,Automotive,7,1,negative
sent_25,2024-12-15T22:40:08.458822,user_1633,$MSFT buy rating on the news,MSFT,Retail,4,3,positive
sent_26,2024-11-23T20:19:08.458822,user_260,$MSFT declining sales,MSFT,Consumer Staples,3,1,negative
sent_27,2025-02-17T06:07:08.458822,user_1237,$NVDA misses estimates,NVDA,Semiconductors,2,3,negative
sent_28,2024-12-21T02:35:08.458822,user_184,$BAC announces conference call,BAC,Technology,7,0,neutral
sent_29,2025-01-17T13:28:08.458822,user_1841,$TSLA announces conference call filed SEC form,TSLA,Consumer Staples,9,2,positive
sent_30,2025-11-04T06:02:08.458822,user_821,$BAC strong buy,BAC,Consumer Staples,2,3,positive
sent_31,2025-11-04T20:37:08.458822,user_793,$AMZN filed SEC form shares traded,AMZN,Automotive,5,5,neutral
sent_32,2025-01-08T10:29:08.459816,user_1151,$NVDA analyst meeting downgrade,NVDA,Consumer Staples,1,2,neutral
sent_33,2024-11-13T18:19:08.459816,user_590,$TSLA lawsuit,TSLA,Financials,7,2,negative
sent_34,2024-12-22T06:33:08.459816,user_890,$JPM record profits market is watching,JPM,Semiconductors,4,2,positive
sent_35,2025-05-04T17:42:08.459816,user_129,$BAC sell rating,BAC,Retail,4,3,negative
sent_36,2025-05-28T06:55:08.459816,user_440,Apple Inc shares traded investors are cautious #markets,AAPL,Retail,5,2,positive
sent_37,2025-10-28T04:47:08.459816,user_536,$TSLA dividend declared #markets,TSLA,Retail,4,0,neutral
sent_38,2024-11-25T00:43:08.459816,user_1625,$TSLA conference presentation,TSLA,Semiconductors,5,0,neutral
sent_39,2025-02-12T23:50:08.459816,user_312,NVIDIA Corporation layoffs announced on the news,NVDA,Financials,1,3,negative
sent_40,2025-08-18T19:11:08.459816,user_1404,$GOOG weak guidance expansion plans,GOOG,Consumer Staples,5,2,negative
sent_41,2025-04-26T21:14:08.459816,user_1916,"Tesla, Inc profit warning market is watching",TSLA,Automotive,5,1,negative
sent_42,2025-03-29T14:22:08.459816,user_1884,$GOOG announces conference call conference presentation,GOOG,Retail,4,2,neutral
sent_43,2025-11-04T18:16:08.459816,user_482,"Meta Platforms, Inc record profits #earnings",META,Automotive,3,3,positive
sent_44,2024-12-29T01:53:08.459816,user_1208,Walmart Inc conference presentation,WMT,Consumer Discretionary,3,2,neutral
sent_45,2025-01-29T09:28:08.460811,user_1698,$WMT supply chain issues company updates,WMT,Consumer Discretionary,5,3,negative
sent_46,2025-09-17T23:37:08.460811,user_1683,$AAPL raising targets shares traded #markets,AAPL,Automotive,4,1,positive
sent_47,2025-02-07T12:00:08.460811,user_342,JPMorgan Chase & Co. sell rating,JPM,Semiconductors,2,0,negative
sent_48,2025-05-15T19:20:08.460811,user_369,$WMT weak guidance mixed signals #markets,WMT,Consumer Discretionary,5,0,negative
sent_49,2025-03-10T12:20:08.460811,user_358,Alphabet Inc raising targets conference presentation,GOOG,Semiconductors,7,4,positive
sent_50,2025-10-13T11:26:08.461710,user_1149,Walmart Inc strategic acquisition expansion plans #markets,WMT,Semiconductors,4,0,positive
sent_51,2025-08-12T00:50:08.461710,user_1679,$GOOG regulatory probe mixed signals,GOOG,Automotive,5,1,negative
sent_52,2024-12-27T01:45:08.461710,user_1684,$META weak guidance solid quarter #earnings,META,Consumer Discretionary,6,1,negative
sent_53,2025-07-04T17:19:08.461710,user_141,$BAC downgrade on the news,BAC,Technology,5,3,negative
sent_54,2025-04-18T09:27:08.461710,user_692,$TSLA supply chain issues,TSLA,Retail,7,1,negative
sent_55,2025-09-29T20:46:08.461710,user_661,$MSFT profit warning supply chain issues,MSFT,Technology,4,3,negative
sent_56,2025-04-14T10:49:08.461710,user_1401,$BAC weak guidance on the news,BAC,Consumer Staples,6,3,negative
sent_57,2025-02-12T23:51:08.461710,user_1523,$TSLA company updates shares jump #markets,TSLA,Consumer Discretionary,3,3,neutral
sent_58,2025-10-05T00:33:08.461710,user_825,Bank of America Corporation analyst meeting,BAC,Automotive,4,1,neutral
sent_59,2025-01-18T10:24:08.461710,user_627,"Tesla, Inc supply chain issues mixed signals",TSLA,Consumer Discretionary,6,0,negative
sent_60,2025-07-10T21:12:08.461710,user_675,$GOOG solid quarter #markets,GOOG,Automotive,6,1,positive
sent_61,2024-12-01T21:51:08.461710,user_1246,$WMT buy rating,WMT,Consumer Discretionary,8,1,positive
sent_62,2025-11-09T19:49:08.461710,user_198,Bank of America Corporation layoffs announced according to sources,BAC,Semiconductors,8,1,negative
sent_63,2025-02-11T00:06:08.461710,user_964,$BAC announces conference call mixed signals,BAC,Financials,4,2,neutral
sent_64,2025-02-16T12:58:08.461710,user_1331,$WMT downgrade,WMT,Consumer Discretionary,3,4,negative
sent_65,2025-10-08T07:08:08.461710,user_408,Apple Inc conference presentation market is watching,AAPL,Financials,1,3,neutral
sent_66,2025-08-22T23:29:08.462813,user_1110,Bank of America Corporation company updates conference presentation,BAC,Consumer Staples,5,2,neutral
