id,timestamp,user,text,ticker,topic_label,engagement
topic_0,2025-02-01T12:16:33.957527,user_889,$NVDA launch reported — investors cautious,NVDA,product_launch,6
topic_1,2025-04-10T12:16:33.957527,user_1234,$JPM insider sell reported — market reaction muted,JPM,insider_trading,10
topic_2,2025-05-07T12:16:33.957527,user_4,$TSLA filing reported — market reaction muted,TSLA,insider_trading,5
topic_3,2025-08-09T12:16:33.957527,user_1597,$AAPL gdp reported — stock jumps,AAPL,macro,8
topic_4,2024-12-01T12:16:33.957527,user_563,$MSFT layoff reported — investors cautious,MSFT,hiring,2
topic_5,2025-06-09T12:16:33.957527,user_411,$JPM dividend reported — investors cautious,JPM,dividend,9
topic_6,2025-08-06T12:16:33.957527,user_1071,$GOOG payout reported — market reaction muted,GOOG,dividend,8
topic_7,2025-02-19T12:16:33.957527,user_2424,$TSLA shareholder reported — stock jumps,TSLA,dividend,3
topic_8,2025-10-05T12:16:33.957527,user_1578,$BAC compliance reported — analysts note,BAC,regulation,6
topic_9,2025-05-09T12:16:33.957527,user_1919,$WMT q2 reported — market reaction muted,WMT,earnings,8
topic_10,2025-07-01T12:16:33.957527,user_1412,$WMT outlook reported — investors cautious,WMT,guidance,5
topic_11,2025-06-07T12:16:33.957527,user_1660,$MSFT economy reported — stock jumps,MSFT,macro,6
topic_12,2025-10-21T12:16:33.957527,user_2397,$NVDA integration reported — analysts note,NVDA,merger,9
topic_13,2025-01-27T12:16:33.957527,user_29,$BAC chip shortage reported — stock jumps,BAC,supply_chain,3
topic_14,2025-07-28T12:16:33.957527,user_491,$GOOG port reported — market reaction muted,GOOG,supply_chain,4
topic_15,2025-05-13T12:16:33.958536,user_1494,$MSFT port reported — stock jumps,MSFT,supply_chain,2
topic_16,2025-01-26T12:16:33.958536,user_228,$AAPL supplier reported — stock jumps,AAPL,supply_chain,11
topic_17,2025-07-18T12:16:33.958536,user_700,$WMT headcount reported — market reaction muted,WMT,hiring,7
topic_18,2025-06-13T12:16:33.958536,user_1086,$GOOG compliance reported — analysts note,GOOG,regulation,8
topic_19,2025-04-20T12:16:33.958536,user_1762,$TSLA economy reported — analysts note,TSLA,macro,5
topic_20,2025-02-15T12:16:33.958536,user_1360,$GOOG deal reported — investors cautious,GOOG,merger,7
topic_21,2025-03-23T12:16:33.958536,user_217,$AMZN Form 4 reported — investors cautious,AMZN,insider_trading,12
topic_22,2025-09-02T12:16:33.958536,user_1047,$NVDA talent reported — market reaction muted,NVDA,hiring,5
topic_23,2025-08-15T12:16:33.958536,user_1178,$BAC integration reported — investors cautious,BAC,merger,7
topic_24,2025-10-21T12:16:33.958536,user_982,$META regulatory reported — stock jumps,META,regulation,4
topic_25,2025-08-19T12:16:33.958536,user_567,$META earnings reported — investors cautious,META,earnings,9
topic_26,2025-06-13T12:16:33.958536,user_1878,$AAPL logistics reported — stock jumps,AAPL,supply_chain,6
topic_27,2025-05-04T12:16:33.958536,user_1002,$GOOG deal reported — analysts note,GOOG,merger,8
topic_28,2025-11-01T12:16:33.958536,user_2400,$WMT cash return reported — analysts note,WMT,dividend,2
topic_29,2025-05-16T12:16:33.958536,user_172,$AAPL port reported — investors cautious,AAPL,supply_chain,9
topic_30,2025-03-17T12:16:33.958536,user_740,$META chip shortage reported — investors cautious,META,supply_chain,4
topic_31,2025-08-03T12:16:33.958536,user_1633,$JPM beat reported — investors cautious,JPM,earnings,4
topic_32,2025-08-21T12:16:33.958536,user_2162,$GOOG port reported — stock jumps,GOOG,supply_chain,5
topic_33,2025-08-13T12:16:33.958536,user_1572,$BAC headcount reported — stock jumps,BAC,hiring,4
topic_34,2025-04-20T12:16:33.958536,user_1911,$AAPL talent reported — stock jumps,AAPL,hiring,3
topic_35,2025-07-28T12:16:33.958536,user_1492,$WMT probe reported — market reaction muted,WMT,regulation,11
topic_36,2025-03-11T12:16:33.958536,user_1711,$NVDA  unveiled reported — market reaction muted,NVDA,product_launch,10
topic_37,2025-01-28T12:16:33.958536,user_235,$NVDA probe reported — investors cautious,NVDA,regulation,12
topic_38,2025-01-21T12:16:33.958536,user_2086,$NVDA revenue reported — stock jumps,NVDA,earnings,8
topic_39,2025-11-09T12:16:33.959533,user_1212,$META cpi reported — analysts note,META,macro,11
topic_40,2025-11-12T12:16:33.959533,user_1370,$AMZN insider reported — investors cautious,AMZN,insider_trading,12
topic_41,2025-01-20T12:16:33.959533,user_456,$TSLA  unveiled reported — market reaction muted,TSLA,product_launch,6
topic_42,2024-12-29T12:16:33.959533,user_1854,$WMT gdp reported — stock jumps,WMT,macro,6
topic_43,2024-12-19T12:16:33.959533,user_134,$WMT eps reported — stock jumps,WMT,earnings,7
topic_44,2025-07-27T12:16:33.959533,user_1601,$AAPL shareholder reported — analysts note,AAPL,dividend,8
topic_45,2024-11-17T12:16:33.959533,user_443,$MSFT payout reported — stock jumps,MSFT,dividend,5
topic_46,2025-04-19T12:16:33.959533,user_2437,$BAC guidance reported — market reaction muted,BAC,guidance,2
topic_47,2025-04-24T12:16:33.959533,user_103,$MSFT fine reported — investors cautious,MSFT,regulation,12
topic_48,2025-07-19T12:16:33.959533,user_1360,$META lawsuit reported — analysts note,META,regulation,10
topic_49,2025-01-28T12:16:33.959533,user_169,$META rollout reported — market reaction muted,META,product_launch,4
topic_50,2025-05-13T12:16:33.959533,user_1215,$WMT deal reported — analysts note,WMT,merger,4
topic_51,2025-01-17T12:16:33.959533,user_2343,$MSFT logistics reported — market reaction muted,MSFT,supply_chain,7
