id,timestamp,user,text,ticker,emotion_label
emo_0,2025-10-25T03:42:52.347823,user_641,$BAC strong earnings sad,BAC,sadness
emo_1,2025-02-24T20:34:52.347823,user_949,Bank of America Corporation profit warning CEO comments disappointing investors anxious,BAC,fear
emo_2,2025-04-29T13:46:52.347823,user_791,"Meta Platforms, Inc conference presentation #markets #earnings",META,neutral
emo_3,2025-07-09T22:45:52.347823,user_562,$GOOG declining sales excited,GOOG,joy
emo_4,2025-10-29T12:16:52.347823,user_1545,$AAPL company updates #earnings thrilled,AAPL,joy
emo_5,2025-11-03T17:58:52.347823,user_1578,NVIDIA Corporation analyst meeting irritated,NVDA,anger
emo_6,2025-03-19T01:17:52.347823,user_3677,"Amazon.com, Inc filed SEC form #markets depressed",AMZN,sadness
emo_7,2025-08-02T21:03:52.347823,user_444,$TSLA losses widen #markets #earnings ⚠️ anxious,TSLA,fear
emo_8,2025-01-08T12:20:52.347823,user_3110,$AMZN revenue growth uneasy,AMZN,fear
emo_9,2025-09-29T09:18:52.347823,user_536,$TSLA regulatory probe optimistic,TSLA,joy
emo_10,2025-03-26T21:22:52.347823,user_556,$META layoffs announced sad,META,sadness
emo_11,2025-06-17T08:34:52.347823,user_1361,$TSLA weak guidance fearful,TSLA,fear
emo_12,2025-07-12T01:05:52.347823,user_1152,Apple Inc supply chain issues bullish,AAPL,joy
emo_13,2025-10-30T17:54:52.347823,user_172,Apple Inc weak guidance CEO comments disappointing investors concerned,AAPL,fear
emo_14,2025-04-04T11:35:52.347823,user_2893,"Tesla, Inc expansion plans #earnings worried",TSLA,fear
emo_15,2025-04-12T17:32:52.347823,user_2915,JPMorgan Chase & Co. buy rating guidance raised for next quarter disappointed,JPM,sadness
emo_16,2025-08-09T17:35:52.348823,user_196,Bank of America Corporation layoffs announced CEO comments disappointing investors down,BAC,sadness
emo_17,2025-10-12T16:42:52.348823,user_1010,Alphabet Inc conference presentation 🚀 excited,GOOG,joy
emo_18,2025-10-06T02:32:52.348823,user_3994,$MSFT strong earnings guidance raised for next quarter #markets,MSFT,neutral
emo_19,2024-11-19T12:54:52.348823,user_405,$GOOG raising targets happy,GOOG,joy
emo_20,2025-09-20T22:41:52.348823,user_271,"Amazon.com, Inc regulatory probe happy",AMZN,joy
emo_21,2025-10-04T20:00:52.348823,user_1967,Microsoft Corporation conference presentation excited,MSFT,joy
emo_22,2025-04-09T13:01:52.348823,user_1140,$TSLA announces conference call down,TSLA,sadness
emo_23,2025-05-27T21:36:52.348823,user_1855,NVIDIA Corporation bullish outlook anxious,NVDA,fear
emo_24,2025-06-27T04:17:52.348823,user_3480,Alphabet Inc revenue miss,GOOG,neutral
emo_25,2025-04-20T10:34:52.348823,user_1478,$MSFT sell rating astonished,MSFT,surprise
emo_26,2025-02-02T00:11:52.348823,user_1805,"Tesla, Inc strategic acquisition #markets angry",TSLA,anger
emo_27,2024-12-26T18:35:52.348823,user_2053,$GOOG beats expectations guidance raised for next quarter #markets sombre,GOOG,sadness
emo_28,2025-07-26T19:36:52.348823,user_2880,$AMZN revenue growth #markets happy,AMZN,joy
emo_29,2025-02-07T04:48:52.348823,user_1574,$MSFT announces conference call uneasy,MSFT,fear
