id,timestamp,customer_id,message,issue_type,priority,agent_reply
sup_0,2025-10-12T12:22:08.631911,cust_4527,cust_4527: I have an issue: missing statement. Need assistance,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_1,2025-10-29T12:22:08.631911,cust_61,cust_61: I have an issue: need KYC help. Need assistance,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_2,2025-09-20T12:22:08.631911,cust_3451,cust_3451: I have an issue: how to change bank details. Please help,how to change bank details,medium,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_3,2025-09-06T12:22:08.631911,cust_2913,cust_2913: I have an issue: deposit not credited. Urgent,deposit not credited,high,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_4,2025-10-22T12:22:08.631911,cust_4621,cust_4621: I have an issue: account locked. Urgent,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_5,2025-10-18T12:22:08.631911,cust_2585,cust_2585: I have an issue: how to reset password. Please help,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_6,2025-09-06T12:22:08.631911,cust_3185,cust_3185: I have an issue: account locked. Thanks,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_7,2025-08-18T12:22:08.631911,cust_4294,cust_4294: I have an issue: account locked. Please help,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_8,2025-11-09T12:22:08.631911,cust_3538,cust_3538: I have an issue: need KYC help. Please help,need KYC help,medium,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_9,2025-09-29T12:22:08.631911,cust_4462,cust_4462: I have an issue: missing statement. Thanks,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_10,2025-08-18T12:22:08.632971,cust_2674,cust_2674: I have an issue: missing statement. Thanks,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_11,2025-10-31T12:22:08.632971,cust_2937,cust_2937: I have an issue: transaction failed. Need assistance,transaction failed,low,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_12,2025-09-28T12:22:08.632971,cust_803,cust_803: I have an issue: deposit not credited. Thanks,deposit not credited,high,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
